,Hotel Name,Rating,Address,City Code,Place ID
1427,Homewood Suites by Hilton Manchester/Airport,4.1,"1000 Perimeter Road, Manchester",MHT,ChIJozYONjlM4okRCdz_7Zqu-AA
1428,"Holiday Inn Manchester Airport, an IHG Hotel",4.3,"2280 Brown Avenue, Manchester",MHT,ChIJR0qa6SFM4okRfwlp3sAjs0s
1429,Travelodge by Wyndham Fort Myers Airport,3,"13661 Indian Paint Lane, Fort Myers",FMY,ChIJW_Ms_LgU24gRZvkum25NQg4
1430,SpringHill Suites by Marriott Fort Myers Airport,4.3,"9501 Marketplace Road, Fort Myers",FMY,ChIJ1d79SK2KXIYRpf8sdr5O0RQ
1431,La Quinta Inn & Suites by Wyndham Fort Myers Airport,3.5,"9521 Marketplace Road, Fort Myers",FMY,ChIJoW0ycbcU24gR6GMS-zeVGws
1432,Hampton Inn Ft. Myers-Airport I-75,4.4,"9241 Marketplace Road, Fort Myers",FMY,ChIJTcl8-8cU24gRjQDgXkG_HSM
1433,Comfort Inn & Suites Airport,4.2,"10081 Intercom Drive, Fort Myers",FMY,ChIJgeS7H7sU24gRns5QcK4qSc0
1434,La Quinta Inn & Suites by Wyndham Portland,4,"340 Park Avenue, Portland",PWM,ChIJ289tMQicskwR4xARHl3esKU
1435,Best Western Merry Manor Inn,4.3,"700 Main Street, South Portland",PWM,ChIJf2TS7NKeskwR9NGKndhau0Q
1436,Howard Johnson by Wyndham South Portland,3.7,"675 Main Street, South Portland",PWM,ChIJdy23ndKeskwRDSWwYbGRr3o
1437,"Holiday Inn Express & Suites South Portland, an IHG Hotel",4.3,"303 Sable Oaks Drive, South Portland",PWM,ChIJe8eOZXGZskwRwozYc6lkTBo
1438,Fireside Inn & Suites Portland,3.8,"81 Riverside Street, Portland",PWM,ChIJbWQ7Pk6askwRum2woCKliBo
1439,Best Western Plus South Coast Inn,4.4,"5620 Calle Real, Goleta",SBA,ChIJN6TrD3FA6YARrqK_v2HYrdc
